feature_name,feature_importance
byte_1G_ad,0.024972596092136066
byte_offset,0.023714802301136758
byte_1G_b1,0.02284051439409875
byte_1G_cd,0.021592035444592303
byte_1G_a9,0.019320692865120694
byte_1G_a4,0.01841451603604099
ent_q_diffs_max,0.017107488006723556
string_len_counts_52,0.016000497058398233
byte_1G_9a,0.015809783613185985
byte_1G_a2,0.015211095067788737
byte_1G_8b,0.015088970590184464
string_len_counts_98,0.015071739617683747
byte_1G_03,0.014608212156296384
string_len_counts_150_250,0.014564369835274794
byte_1G_ae,0.014147988240179382
byte_1G_9f,0.01374535075418229
string_len_counts_2,0.013505111017392353
ent_q_diffs_19,0.01319361851427244
asm_opcodes_jnb,0.013156753307220378
byte_1G_a7,0.013031896991081628
byte_1G_dd,0.012896784352005758
ent_q_diffs_max-min,0.012170731050020665
ent_q_diff_diffs_3_min,0.011185116403606763
byte_1G_33,0.010927903577486256
byte_1G_a3,0.010810685024431218
byte_1G_b7,0.010770029867223281
byte_1G_d5,0.010523742302998225
byte_1G_00,0.010188036814389139
byte_1G_7b,0.010187483614315885
byte_1G_7a,0.009890632095155139
ent_p_1,0.009697309389879909
byte_1G_ed,0.009470169727457067
byte_1G_1d,0.009128583070311272
ent_p_diffs_19,0.009104978362480816
ent_p_diffs_4,0.00909627730880781
byte_1G_71,0.008770847120783952
byte_1G_cf,0.008576750032915957
ent_p_diffs_8,0.008563268630366716
ent_q_diff_diffs_0_max,0.008530534506046288
ent_p_diffs_7,0.008390277301894724
byte_1G_99,0.008314473241839178
asm_opcodes_inc,0.00831287014005858
asm_opcodes_not,0.008254468045503527
ent_p_diffs_9,0.00822667595255138
byte_1G_08,0.008118014898817659
ent_p_diffs_18,0.0078020468556674275
byte_1G_ab,0.007791651760850232
byte_Img1_38,0.007468469782997968
byte_1G_09,0.00736651025268749
asm_opcodes_neg,0.0073356820652786155
asm_opcodes_cmp,0.007202475177911601
byte_1G_02,0.007056791454289731
byte_1G_12,0.007024417488579198
asm_opcodes_rep,0.007001712329085853
byte_1G_bf,0.006868143351653625
ent_p_diffs_6,0.00682601698985375
asm_md_loc,0.0067411602315895925
byte_1G_e2,0.006725596136813198
byte_1G_b3,0.0067050283959581725
ent_p_diffs_3,0.006462529191587378
byte_1G_eb,0.00645266722976993
byte_Img1_37,0.0063146864187930375
byte_1G_17,0.006178891533225128
asm_opcodes_movzx,0.006104018818891036
asm_opcodes_int,0.006082727173150185
byte_1G_80,0.00600186273349239
byte_1G_ff,0.005823541677082695
byte_1G_8d,0.0057779552271991445
byte_1G_fc,0.005727483322237623
byte_1G_13,0.005646268129365975
ent_p_diffs_2,0.005563831043498304
ent_q_diff_block_0_19,0.005482694676872745
ent_p_14,0.005392023089379752
byte_1G_29,0.0053263144799795895
byte_1G_1e,0.005290477740494244
byte_1G_bb,0.005242812171489794
byte_1G_9b,0.005199088717364932
byte_1G_6a,0.005114204698912639
ent_p_11,0.005109409907361352
ent_q_diff_diffs_1_max-min,0.0050878860431598175
asm_opcodes_xchg,0.005054324112038354
ent_p_13,0.005050276429088152
byte_1G_0b,0.0050089312158452725
ent_p_diffs_10,0.004987993170482321
byte_1G_34,0.0049858678325627554
ent_q_diff_diffs_3_median,0.004943475612063691
byte_1G_d7,0.004879821055150775
byte_1G_01,0.004786432096596406
ent_p_diffs_11,0.004766661917407315
string_len_counts_36,0.004765334986905169
byte_1G_83,0.004751940759862917
asm_opcodes_fword,0.0046599994839617125
byte_1G_e8,0.00462928069285326
asm_opcodes_or,0.0045283107224803705
byte_1G_20,0.004422049171403973
byte_1G_1a,0.0044191977740347475
byte_1G_36,0.004411127873744976
byte_1G_0f,0.004362729941061899
byte_1G_26,0.004346609654107165
byte_1G_10,0.00433277164947263
asm_opcodes_dec,0.0042473152306936705
asm_opcodes_const,0.00416472786074601
ent_q_diff_block_3_19,0.004111928353812055
byte_1G_3b,0.004104172435822611
byte_1G_11,0.004052707133261153
ent_q_diff_diffs_2_max-min,0.004032037877883073
byte_1G_c7,0.004013471848359217
asm_symb_Bracket_Close,0.003930308179899985
ent_q_diff_diffs_2_var,0.003881639136249466
byte_1G_89,0.0038629407423110686
ent_p_diffs_17,0.0038457890665626847
string_len_counts_5,0.0037376577226688537
byte_1G_45,0.0036937380399601353
byte_1G_75,0.0036076504329795186
asm_regs_cx,0.0035260709512357903
asm_opcodes_jge,0.0034693101711641143
string_len_counts_9,0.0034688815708793295
byte_1G_06,0.003409381135957719
string_len_counts_4,0.003335718084326395
asm_regs_bl,0.0033151459644711655
string_len_counts_12,0.003306267231869346
asm_opcodes_dd,0.0033010126824560625
byte_1G_d8,0.003294412892661434
ent_q_diff_diffs_3_max-min,0.0032897590876231953
ent_q_diff_diffs_0_min,0.003162612478787343
ent_q_diff_diffs_0_var,0.0029889110305202416
asm_symb_Bracket_Open,0.0029825998222206516
asm_opcodes_ror,0.0029156750872530554
ent_p_diffs_16,0.002717617879447289
asm_opcodes_xor,0.00269279240540744
byte_1G_37,0.002686526278905397
byte_Img1_29,0.002256334001619228
