feature_name,feature_importance
byte_1G_00,0.0035208205321899584
byte_1G_01,0.0012858439937292888
byte_1G_02,0.006428478236067086
byte_1G_03,0.007291933642431433
byte_1G_04,0.0008693304704714281
byte_1G_06,0.0035625190942556967
byte_1G_08,0.0018327108069089305
byte_1G_09,0.004648639803863184
byte_1G_0b,0.0012415242857002219
byte_1G_0c,0.0006593189016316405
byte_1G_0e,0.0021860893762546173
byte_1G_0f,0.003373147285294654
byte_1G_10,0.0068723685364006385
byte_1G_11,0.0015727831001606076
byte_1G_12,0.0018257865885302643
byte_1G_13,0.0048722947427204295
byte_1G_16,0.0015671655292764496
byte_1G_17,0.0020319540075232553
byte_1G_1a,0.0023151805277728315
byte_1G_1d,0.0031626404254436642
byte_1G_1e,0.0028680872329525085
byte_1G_1f,0.0022580468990985093
byte_1G_20,0.0015945484840742686
byte_1G_21,0.0006612291683912928
byte_1G_26,0.004008921003305367
byte_1G_29,0.004861985436385291
byte_1G_2a,0.002065350896697399
byte_1G_2e,0.002708622273782507
byte_1G_2f,0.0019999927332424224
byte_1G_30,0.000645298955326985
byte_1G_31,0.0010044148236519799
byte_1G_32,0.0009411624398131477
byte_1G_33,0.0067661294223967505
byte_1G_34,0.002780398971536018
byte_1G_35,0.002371616198207746
byte_1G_36,0.001176178824902121
byte_1G_37,0.0014368988286015815
byte_1G_38,0.0012822504106957074
byte_1G_39,0.0011561546199242868
byte_1G_3a,0.0019341620649390837
byte_1G_3d,0.002842454106241135
byte_1G_3e,0.001398559948193214
byte_1G_45,0.004270993623193065
byte_1G_4b,0.005591889331677182
byte_1G_50,0.0005639048034429115
byte_1G_59,0.0010773705124206437
byte_1G_6a,0.0034130160730548175
byte_1G_71,0.008698986936904556
byte_1G_75,0.001607873458925897
byte_1G_77,0.0018827275177956877
byte_1G_7a,0.003491802578125563
byte_1G_7b,0.0038147428935456557
byte_1G_80,0.004989712503968877
byte_1G_83,0.0031174237424151053
byte_1G_85,0.0033814778915821704
byte_1G_89,0.0017184049086024908
byte_1G_8b,0.005649898701059736
byte_1G_8d,0.0016220280991669444
byte_1G_8f,0.0034154996843411343
byte_1G_91,0.0071684105178114335
byte_1G_92,0.0030072999159023845
byte_1G_96,0.0016614251078666505
byte_1G_97,0.0016262308049336878
byte_1G_99,0.01218377634999219
byte_1G_9a,0.011225306122997523
byte_1G_9b,0.011069004944790352
byte_1G_9e,0.0023573801718795202
byte_1G_9f,0.00332094204586856
byte_1G_a2,0.014019770167603354
byte_1G_a3,0.0034063047361322213
byte_1G_a4,0.008368786739035296
byte_1G_a7,0.01091592107532025
byte_1G_a9,0.004091599694233486
byte_1G_aa,0.004182047360031006
byte_1G_ab,0.0037055208120856287
byte_1G_ad,0.007504377538899353
byte_1G_ae,0.010929324273228198
byte_1G_af,0.0030358068917147197
byte_1G_b1,0.012206909514422557
byte_1G_b2,0.001542918685480743
