feature_name,feature_importance
ent_q_diff_diffs_1_min,0.019234521494601992
ent_q_diff_diffs_2_median,0.01818480047902909
ent_q_diff_diffs_2_min,0.015940899257956297
byte_1G_a2,0.015251186700028879
byte_1G_a7,0.015015661097024268
string_len_counts_98,0.011895570719239372
ent_p_19,0.01161402348774474
byte_offset,0.011347596657265122
string_len_counts_150_250,0.010161659707912456
byte_1G_b1,0.010110523469202848
byte_1G_ae,0.010053486320620031
byte_1G_a9,0.009703101802492094
byte_1G_b5,0.00953358932776046
byte_1G_a4,0.009465567375491231
ent_q_diff_diffs_12,0.009408555795244527
byte_1G_bf,0.009359605779862057
byte_1G_03,0.009269967729175889
byte_1G_ad,0.008484644420329195
ent_q_diff_diffs_1_median,0.008302378565417396
byte_1G_bb,0.008285720005780239
byte_1G_33,0.008264801503919023
byte_1G_8b,0.008260381502060871
byte_1G_71,0.006896772422233693
byte_1G_02,0.006833232052418615
byte_1G_d5,0.006757973892475667
byte_1G_c5,0.006688258666955501
asm_opcodes_jnb,0.006647238463632593
ent_q_diffs_max,0.006422860189812978
byte_1G_ab,0.006096647954132933
byte_1G_91,0.006038007370126389
byte_1G_9a,0.006031395907137078
ent_q_diffs_19,0.005999401113526009
byte_1G_45,0.005970130235229686
byte_1G_c1,0.005881130489319019
byte_1G_dd,0.005878410787431959
asm_opcodes_jnz,0.005538126228376351
string_len_counts_43,0.005463292901355268
asm_opcodes_mul,0.005324519947461855
byte_1G_80,0.005146185394192466
byte_1G_cd,0.004942693586343164
byte_1G_2a,0.004937946710794578
ent_p_18,0.004855641325514665
byte_1G_06,0.004841729361573943
ent_p_9,0.004798954430087121
byte_1G_b7,0.004781105932013495
ent_p_4,0.00471596590616724
asm_md_filesize,0.0046718414224535335
string_len_counts_36,0.004621981970147042
byte_1G_b9,0.004562730530683335
ent_q_diff_diffs_9,0.004531589406759732
ent_p_diffs_0,0.004270742936827276
ent_p_diffs_7,0.004178738550791559
string_len_counts_44,0.004172669829672841
byte_1G_c3,0.004162233772885054
byte_Img1_1,0.004157512656243389
byte_1G_92,0.0041568273356525935
string_len_counts_30_60,0.0041191714579821735
byte_1G_9b,0.004051945855643116
ent_q_diff_diffs_3_min,0.004028127508024785
byte_1G_09,0.0040191697865517625
byte_Img1_21,0.00400026277060655
byte_1G_1d,0.00395555645765101
byte_filesize,0.003955135145139054
ent_q_diffs_min,0.0038954809896166944
byte_Img1_51,0.0037926527877398
ent_q_diffs_18,0.0037832203643330623
byte_1G_97,0.0037761431683373033
byte_Img1_11,0.0037684790237091288
asm_opcodes_const,0.0036988238497835707
byte_1G_b3,0.003661211311613692
string_len_counts_2,0.0036504676690893604
asm_opcodes_shr,0.003631407655365548
ent_q_diffs_11,0.003625567193085921
ent_p_0,0.0036022171629000645
byte_1G_00,0.0035625800166008315
asm_opcodes_jz,0.0035518360012107403
byte_1G_d7,0.003483211110712086
byte_Img1_47,0.0034228489534512984
byte_1G_ed,0.003408285166501506
byte_Img1_12,0.003378854304457311
ent_p_diffs_10,0.0033521345671298107
byte_1G_12,0.003315683991571608
ent_q_diffs_var,0.003314768482190672
ent_p_diffs_19,0.00327624248664891
ent_p_diffs_5,0.003240631902925688
byte_1G_20,0.0032231729066911526
ent_p_2,0.003203487366352515
ent_p_5,0.0031920094794279513
byte_Img1_50,0.003188845334794812
byte_1G_99,0.0031710833069870225
byte_1G_29,0.003157959288664552
byte_1G_0e,0.0031574617850865776
ent_p_7,0.003145259734426589
ent_p_diffs_8,0.00313186246943814
string_len_counts_26,0.0031284358157398014
byte_1G_85,0.0031216295752537226
ent_p_1,0.00308590971091173
ent_q_diffs_20,0.003084558520904576
byte_1G_4b,0.003068334683953101
byte_1G_7b,0.0030654323245137604
asm_regs_ebp,0.0030619873479607175
byte_Img1_15,0.003044784167899781
byte_1G_d2,0.0030435066503201463
byte_1G_6b,0.003010020314776896
asm_opcodes_lea,0.0029985265442592167
byte_1G_f5,0.0029765423616856163
ent_p_17,0.002965431974352694
ent_q_diff_diffs_10,0.0029641499468176674
byte_1G_af,0.002950152411788057
byte_Img1_34,0.0029377166238391773
byte_1G_1a,0.002930460005299265
byte_1G_9e,0.0029284194490303227
byte_1G_17,0.002890343620504151
byte_1G_eb,0.002887758883763673
asm_opcodes_setz,0.0028802836779282196
byte_Img1_8,0.002841151120741974
ent_p_diffs_4,0.0028141916836287246
string_len_counts_6,0.002774092073674655
byte_1G_1e,0.002772099156576725
ent_q_diff_block_0_19,0.0027512690592312373
asm_opcodes_rep,0.0027490781754448764
ent_p_15,0.0027454632867392297
ent_q_diffs_max-min,0.0027395321746552866
byte_Img1_24,0.0027316340239483122
byte_1G_8f,0.002684255349805756
byte_Img1_48,0.002650227782601261
byte_1G_13,0.002641092750122648
string_len_counts_37,0.0026257781812593344
asm_opcodes_movzx,0.002608029583973177
byte_Img1_41,0.0026043516160344066
asm_opcodes_call,0.0025764404934678496
asm_opcodes_db,0.0025582561628783988
byte_1G_9f,0.0025429296252083363
byte_Img1_25,0.002519864148457218
ent_q_diff_diffs_13,0.0024732771844955784
ent_p_8,0.0024534559044655725
ent_p_diffs_11,0.0024441621500807522
byte_1G_83,0.002433368669788818
asm_regs_esp,0.0024327514083689137
byte_1G_0f,0.002417540324833661
string_ratio,0.0024173783496723223
asm_opcodes_not,0.0023954977734049663
asm_opcodes_near,0.002380421614550367
byte_1G_8d,0.002373798992591396
ent_p_diffs_6,0.0023588302285188233
byte_1G_a3,0.0023567238190285783
