feature_name,feature_importance
_allmul,0.02500907017183105
ent_q_diff_diffs_1_min,0.02492584041824024
ent_q_diff_diffs_1_median,0.021725171514187635
GetStringTypeA,0.021289470645451402
byte_1G_a2,0.01982504056964183
byte_1G_a4,0.01920838593050069
GetProcAddress,0.016390960312301733
free,0.016057297917574008
ent_q_diff_diffs_2_median,0.01577317570751992
Offset,0.015267287890555892
byte_1G_a5,0.014783105243965186
byte_1G_9a,0.012933530500298414
byte_offset,0.012826224433000683
ent_p_9,0.012784164868069024
ExitProcess,0.012349403414760301
byte_1G_b1,0.012250851748945704
byte_1G_dc,0.011754986405617245
LCMapStringA,0.011678909179946122
byte_1G_96,0.011621067579129058
ent_p_6,0.011417003383549935
_XcptFilter,0.01111172242025613
WinMain,0.010998879982799602
ent_p_5,0.010408494683331588
GetEnvironmentStrings,0.010129513899282405
ent_q_diffs_max,0.010049199400678633
byte_1G_d8,0.009824598106440555
ent_p_19,0.009745942892076618
byte_1G_ad,0.009516438384127189
exit,0.009285835747924085
arg,0.009066257139134387
byte_1G_da,0.0090074412117726
ent_p_18,0.008875218342646141
byte_Img1_41,0.008795635196407194
byte_filesize,0.008584234206173501
byte_1G_ea,0.008581173262661971
_cexit,0.00841717449490329
byte_1G_bc,0.008269919954157512
byte_1G_cb,0.008227486940819487
LCMapStringW,0.007947479393913978
byte_1G_cf,0.00793712711988808
TlsAlloc,0.007621146540752696
VirtualAlloc,0.007352729211092641
ent_q_diffs_min,0.007337113469509774
ent_p_2,0.0069960436942435355
ent_q_diff_diffs_2_min,0.00694950413347643
byte_1G_8b,0.00685378314604319
BYTES,0.006713091433151654
byte_Img1_1,0.006671550274519605
char,0.006589844099487037
ent_p_diffs_8,0.006556275328391175
ent_p_diffs_19,0.006423625647089168
byte_Img1_15,0.0064227153049150176
byte_1G_d7,0.006396565637928806
ent_q_diffs_var,0.006350897720445483
LoadLibraryA,0.0062885355375188814
asm_regs_ebp,0.00625985677331103
off,0.006217534677827799
byte_Img1_11,0.006174784065517086
ent_p_diffs_3,0.006098498027835479
asm_opcodes_jnb,0.006063048327273685
ent_p_diffs_9,0.005872386373743357
byte_1G_bb,0.005783986882858369
ent_p_diffs_5,0.005737793203313496
string_len_counts_30_60,0.005388190609270568
InterlockedIncrement,0.005356333231706509
asm_opcodes_movzx,0.005336409838051675
ent_p_4,0.005309501443572432
assume,0.005014008346335821
ent_p_0,0.004994927404154412
asm_opcodes_shr,0.0049721027187206585
ent_p_8,0.004925307572323327
ent_p_diffs_0,0.004889900871493064
byte_1G_bf,0.004804391918089646
DllEntryPoint,0.004702987137957001
byte_1G_ef,0.004698501271084128
ent_p_17,0.004655997200535871
ent_q_diffs_max-min,0.0046493294670475775
byte_1G_21,0.00460330196619394
strcmp,0.004458266134298861
ent_q_diff_block_0_18,0.0044174638287936795
byte_1G_10,0.004330145245060727
Virtual,0.004316843910463607
dll,0.004305808211913568
byte_Img1_51,0.004201949531738228
ent_p_7,0.004184421121592179
db,0.0041373611875292786
byte_1G_00,0.004037163545524476
ent_q_diffs_18,0.003958427279944855
byte_1G_12,0.003919236625067842
_except_handler3,0.0039004748431680993
byte,0.0038337810956456243
byte_1G_13,0.003811361423820662
