feature_name,feature_importance
assume,0.005014008346335821
_acmdln,0.0031658373059083676
asm_md_filesize,0.002424329688395025
asm_md_loc,0.0024506303532723438
asm_opcodes_call,0.0008804794120239215
asm_opcodes_cmp,0.0017751783818599606
asm_opcodes_db,0.0027214074671523558
asm_opcodes_endp,0.003378679517590421
asm_opcodes_jmp,0.0018038705681869278
string_len_counts_2,0.003583292666578225
asm_opcodes_jnz,0.0017423331388438559
asm_opcodes_jz,0.0021043639674758626
asm_opcodes_near,0.001106160700846282
asm_opcodes_test,0.0029129252816793793
byte_Img1_51,0.004201949531738228
GetProcAddress,0.016390960312301733
byte_Img1_25,0.0020530846700754597
byte_Img1_28,0.0038050242401959024
byte_Img1_34,0.0031590592802954983
byte_Img1_37,0.0015478496244658037
byte_Img1_38,0.003229198419913754
byte_Img1_40,0.0021857993542179948
byte_Img1_41,0.008795635196407194
byte_Img1_42,0.0013559771387304394
byte_Img1_45,0.0012024395814649903
byte_Img1_47,0.0026887639686468136
LoadLibraryA,0.0062885355375188814
byte_Img1_15,0.0064227153049150176
LCMapStringA,0.011678909179946122
exit,0.009285835747924085
_except_handler3,0.0039004748431680993
GetStringTypeA,0.021289470645451402
TlsAlloc,0.007621146540752696
GetEnvironmentStrings,0.010129513899282405
_XcptFilter,0.01111172242025613
ExitProcess,0.012349403414760301
UnhandledExceptionFilter,0.0023221987444172606
VirtualAlloc,0.007352729211092641
WriteFile,0.0015655165934976712
VirtualFree,0.001007062634352411
MultiByteToWideChar,0.0021163484749483867
GetStartupInfoA,0.0032499293960824155
WideCharToMultiByte,0.0010594967663801421
TerminateProcess,0.0017015618795265866
_initterm,0.003485971262902537
BYTES,0.006713091433151654
ent_q_diff_block_0_19,0.002449614818372135
ent_q_diff_block_0_18,0.0044174638287936795
db,0.0041373611875292786
dw,0.0024355213855101684
XREF,0.0010575436706076666
BOOL,0.0026135183042940947
ent_q_diff_diffs_11,0.002695724615029918
ent_q_diff_diffs_10,0.0033696464769816647
ent_q_diffs_max,0.010049199400678633
ent_q_diffs_var,0.006350897720445483
ent_q_diff_diffs_0_mean,0.0015378702205310693
ent_q_diff_diffs_1_mean,0.0013489805645460235
byte_Img1_14,0.0012137032645375251
ent_q_diff_diffs_1_min,0.02492584041824024
ent_q_diff_diffs_1_median,0.021725171514187635
ent_q_diff_diffs_0_median,0.0010880344324457095
Offset,0.015267287890555892
ent_q_diffs_19,0.003139108876514807
WinMain,0.010998879982799602
byte_1G_8b,0.00685378314604319
ent_q_diffs_18,0.003958427279944855
byte_1G_c7,0.0015682650103106019
byte_filesize,0.008584234206173501
byte_offset,0.012826224433000683
DllEntryPoint,0.004702987137957001
ent_p_diffs_3,0.006098498027835479
ent_p_19,0.009745942892076618
ent_p_18,0.008875218342646141
ent_p_17,0.004655997200535871
ent_p_16,0.0028460295276168386
ent_p_15,0.0016998211534595576
ent_p_14,0.0011697015946490715
